,Network 1,Network 2,Mean Coeff,σ Coeff
R_IFSa-R_s32,Cingulo-Opercular,Default,-0.0,0.0
L_MI-L_s32,Cingulo-Opercular,Default,-0.0,0.0
L_PFop-L_TE1m,Cingulo-Opercular,Default,-0.0,0.0
R_6r-R_STSvp,Cingulo-Opercular,Default,-0.0,0.0
R_FOP1-R_STSda,Cingulo-Opercular,Default,0.0,0.0
L_FOP3-L_s32,Cingulo-Opercular,Default,-0.0,0.0
R_PFcm-R_TGd,Cingulo-Opercular,Default,-0.0,0.0
R_43-L_47s,Cingulo-Opercular,Default,-0.0,0.01
L_p32pr-L_9p,Cingulo-Opercular,Default,-0.0,0.0
R_MI-L_PHA2,Cingulo-Opercular,Default,-0.0,0.01
R_FOP4-R_STSvp,Cingulo-Opercular,Default,0.0,0.01
L_a24pr-L_9p,Cingulo-Opercular,Default,-0.0,0.0
R_FOP3-R_s32,Cingulo-Opercular,Default,-0.0,0.0
R_MI-R_STSva,Cingulo-Opercular,Default,-0.0,0.01
R_FOP3-L_TE1m,Cingulo-Opercular,Default,0.0,0.0
R_PoI2-L_25,Cingulo-Opercular,Default,0.0,0.0
R_a24pr-L_PGi,Cingulo-Opercular,Default,-0.0,0.0
R_PF-L_TGd,Cingulo-Opercular,Default,-0.0,0.0
R_FOP1-R_TE1a,Cingulo-Opercular,Default,-0.0,0.01
R_FOP3-L_TGd,Cingulo-Opercular,Default,-0.0,0.0
R_PEF-L_47m,Cingulo-Opercular,Default,-0.0,0.01
L_FOP1-L_s32,Cingulo-Opercular,Default,-0.0,0.0
L_FOP3-L_TE1a,Cingulo-Opercular,Default,-0.0,0.0
L_a24pr-L_STSva,Cingulo-Opercular,Default,0.0,0.0
R_PFop-R_25,Cingulo-Opercular,Default,-0.0,0.0
R_p24pr-L_PGs,Cingulo-Opercular,Default,0.0,0.0
R_PFcm-L_47s,Cingulo-Opercular,Default,-0.0,0.01
L_a24pr-L_TGd,Cingulo-Opercular,Default,0.0,0.0
L_PF-L_25,Cingulo-Opercular,Default,-0.0,0.0
R_MI-L_47m,Cingulo-Opercular,Default,-0.0,0.0
L_a24pr-L_47m,Cingulo-Opercular,Default,0.0,0.0
L_6r-L_s32,Cingulo-Opercular,Default,-0.0,0.0
L_PFcm-L_25,Cingulo-Opercular,Default,-0.0,0.0
R_p32pr-R_s32,Cingulo-Opercular,Default,-0.0,0.0
R_FOP3-R_TE1a,Cingulo-Opercular,Default,0.0,0.0
L_FOP4-L_s32,Cingulo-Opercular,Default,-0.0,0.0
L_a24pr-L_25,Cingulo-Opercular,Default,-0.0,0.0
R_PEF-L_25,Cingulo-Opercular,Default,0.0,0.0
L_p24pr-L_TGd,Cingulo-Opercular,Default,0.0,0.0
R_6r-R_PGi,Cingulo-Opercular,Default,-0.0,0.0
L_33pr-L_25,Cingulo-Opercular,Default,-0.0,0.0
L_p32pr-L_8Ad,Cingulo-Opercular,Default,-0.0,0.0
L_FEF-L_POS1,Cingulo-Opercular,Default,0.0,0.0
L_PF-L_s32,Cingulo-Opercular,Default,-0.0,0.0
R_PSL-R_47s,Cingulo-Opercular,Default,-0.0,0.0
L_PFcm-L_H,Cingulo-Opercular,Default,-0.0,0.0
R_MI-R_PGi,Cingulo-Opercular,Default,-0.0,0.0
L_p32pr-L_PGs,Cingulo-Opercular,Default,-0.0,0.0
L_PFop-L_PHA2,Cingulo-Opercular,Default,-0.0,0.0
L_MI-L_EC,Cingulo-Opercular,Default,0.0,0.0
R_6r-L_47l,Cingulo-Opercular,Default,0.0,0.0
L_33pr-L_PGi,Cingulo-Opercular,Default,-0.0,0.0
R_PF-L_s32,Cingulo-Opercular,Default,0.0,0.0
R_FOP3-L_47m,Cingulo-Opercular,Default,-0.0,0.0
L_p32pr-L_8Av,Cingulo-Opercular,Default,-0.0,0.0
L_SCEF-L_PGs,Cingulo-Opercular,Default,-0.0,0.0
R_PSL-R_TGd,Cingulo-Opercular,Default,0.0,0.0
R_PoI2-R_PGi,Cingulo-Opercular,Default,0.0,0.0
L_p24pr-L_9p,Cingulo-Opercular,Default,0.0,0.0
R_6r-R_25,Cingulo-Opercular,Default,-0.0,0.0
R_PSL-R_47l,Cingulo-Opercular,Default,0.0,0.0
R_PSL-R_a24,Cingulo-Opercular,Default,-0.0,0.0
L_33pr-L_9a,Cingulo-Opercular,Default,-0.0,0.0
L_p24pr-L_25,Cingulo-Opercular,Default,-0.0,0.0
L_PF-L_PHA2,Cingulo-Opercular,Default,-0.0,0.0
R_p24pr-L_8BL,Cingulo-Opercular,Default,-0.0,0.0
R_6r-L_47m,Cingulo-Opercular,Default,0.0,0.0
R_43-R_25,Cingulo-Opercular,Default,-0.0,0.0
L_MI-L_TE1a,Cingulo-Opercular,Default,-0.0,0.0
L_p24pr-L_STSvp,Cingulo-Opercular,Default,-0.0,0.01
R_MI-R_25,Cingulo-Opercular,Default,0.0,0.0
R_6r-R_TE1a,Cingulo-Opercular,Default,-0.0,0.0
R_43-L_47l,Cingulo-Opercular,Default,-0.0,0.0
L_FEF-L_31pd,Cingulo-Opercular,Default,0.0,0.0
R_43-R_TGd,Cingulo-Opercular,Default,0.0,0.0
L_FOP4-L_TE1a,Cingulo-Opercular,Default,-0.0,0.0
L_p32pr-L_PGi,Cingulo-Opercular,Default,-0.0,0.0
L_p32pr-L_TE1a,Cingulo-Opercular,Default,-0.0,0.0
R_FOP3-R_TGd,Cingulo-Opercular,Default,-0.0,0.01
R_FOP5-L_LIPd,Cingulo-Opercular,Dorsal_Attention,0.02,0.02
L_a24pr-L_PGp,Cingulo-Opercular,Dorsal_Attention,0.02,0.02
R_FOP3-R_PGp,Cingulo-Opercular,Dorsal_Attention,-0.01,0.03
R_FOP4-R_PGp,Cingulo-Opercular,Dorsal_Attention,-0.01,0.01
L_SCEF-L_PGp,Cingulo-Opercular,Dorsal_Attention,-0.01,0.01
R_p24pr-L_IP0,Cingulo-Opercular,Dorsal_Attention,0.01,0.01
R_PEF-L_7PL,Cingulo-Opercular,Dorsal_Attention,0.01,0.01
L_a24pr-L_IP0,Cingulo-Opercular,Dorsal_Attention,0.01,0.01
R_PEF-R_TE2p,Cingulo-Opercular,Dorsal_Attention,0.01,0.02
L_FEF-L_6a,Cingulo-Opercular,Dorsal_Attention,-0.0,0.01
R_FOP4-L_LIPd,Cingulo-Opercular,Dorsal_Attention,0.0,0.01
R_MI-R_PGp,Cingulo-Opercular,Dorsal_Attention,-0.0,0.01
R_p24pr-L_PGp,Cingulo-Opercular,Dorsal_Attention,0.0,0.01
R_FOP3-L_PHA3,Cingulo-Opercular,Dorsal_Attention,0.0,0.01
L_SCEF-L_IP0,Cingulo-Opercular,Dorsal_Attention,-0.0,0.01
L_p32pr-L_IP0,Cingulo-Opercular,Dorsal_Attention,0.0,0.01
L_p24pr-L_PHT,Cingulo-Opercular,Dorsal_Attention,-0.0,0.01
L_p24pr-L_PGp,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
R_FOP4-L_PHA3,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
R_IFSa-R_TE2p,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
R_6r-R_TE2p,Cingulo-Opercular,Dorsal_Attention,-0.0,0.0
R_6r-L_PHA3,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
R_PoI2-R_TE2p,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
R_a32pr-L_PEF,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
R_IFSa-L_PEF,Cingulo-Opercular,Dorsal_Attention,-0.0,0.0
R_PoI2-R_PGp,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
L_p32pr-L_PGp,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
L_33pr-L_PGp,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
R_FEF-L_7PL,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
R_6r-R_PGp,Cingulo-Opercular,Dorsal_Attention,-0.0,0.0
R_MI-R_TE2p,Cingulo-Opercular,Dorsal_Attention,-0.0,0.0
L_a24pr-L_PHT,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
L_p32pr-L_TE2p,Cingulo-Opercular,Dorsal_Attention,-0.0,0.0
L_PFcm-L_PHA3,Cingulo-Opercular,Dorsal_Attention,-0.0,0.0
R_FOP4-R_TE2p,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
L_p32pr-L_6a,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
R_a24pr-L_PGp,Cingulo-Opercular,Dorsal_Attention,-0.0,0.0
L_33pr-L_IP0,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
L_p24pr-L_IP0,Cingulo-Opercular,Dorsal_Attention,-0.0,0.0
L_33pr-L_PFt,Cingulo-Opercular,Dorsal_Attention,0.0,0.01
R_FOP5-L_PEF,Cingulo-Opercular,Dorsal_Attention,-0.0,0.0
R_FOP3-R_TE2p,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
L_p32pr-L_PHT,Cingulo-Opercular,Dorsal_Attention,0.0,0.0
R_PoI2-L_a47r,Cingulo-Opercular,Frontoparietal,-0.09,0.06
R_MI-R_AVI,Cingulo-Opercular,Frontoparietal,0.06,0.1
L_p32pr-L_8BM,Cingulo-Opercular,Frontoparietal,-0.05,0.06
L_p32pr-L_a47r,Cingulo-Opercular,Frontoparietal,0.04,0.05
L_p32pr-L_a10p,Cingulo-Opercular,Frontoparietal,-0.04,0.06
R_PEF-R_OFC,Cingulo-Opercular,Frontoparietal,-0.03,0.03
L_46-L_13l,Cingulo-Opercular,Frontoparietal,0.03,0.06
R_46-R_OFC,Cingulo-Opercular,Frontoparietal,-0.03,0.03
R_MI-L_a47r,Cingulo-Opercular,Frontoparietal,-0.02,0.03
L_p32pr-L_AVI,Cingulo-Opercular,Frontoparietal,0.02,0.02
R_PFcm-R_p47r,Cingulo-Opercular,Frontoparietal,-0.01,0.03
R_46-R_AVI,Cingulo-Opercular,Frontoparietal,-0.01,0.02
L_p24pr-L_AVI,Cingulo-Opercular,Frontoparietal,0.01,0.02
R_a24pr-R_11l,Cingulo-Opercular,Frontoparietal,-0.01,0.02
R_6r-R_OFC,Cingulo-Opercular,Frontoparietal,-0.01,0.01
R_PI-L_a47r,Cingulo-Opercular,Frontoparietal,-0.01,0.01
R_p24pr-L_8C,Cingulo-Opercular,Frontoparietal,-0.01,0.01
R_FOP1-L_a47r,Cingulo-Opercular,Frontoparietal,-0.01,0.01
R_PFop-L_AVI,Cingulo-Opercular,Frontoparietal,-0.01,0.01
R_FOP5-L_a47r,Cingulo-Opercular,Frontoparietal,-0.01,0.01
L_33pr-L_p10p,Cingulo-Opercular,Frontoparietal,-0.0,0.01
R_PFop-L_p47r,Cingulo-Opercular,Frontoparietal,-0.0,0.01
R_46-R_p47r,Cingulo-Opercular,Frontoparietal,-0.0,0.01
R_IFSa-R_OFC,Cingulo-Opercular,Frontoparietal,-0.0,0.01
R_6r-L_a47r,Cingulo-Opercular,Frontoparietal,-0.0,0.01
L_43-L_AVI,Cingulo-Opercular,Frontoparietal,0.0,0.0
R_FOP3-L_a47r,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_43-L_a47r,Cingulo-Opercular,Frontoparietal,0.0,0.01
R_PSL-L_AVI,Cingulo-Opercular,Frontoparietal,-0.0,0.01
R_FOP4-L_a47r,Cingulo-Opercular,Frontoparietal,-0.0,0.0
L_33pr-L_PFm,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_p24pr-L_IFJp,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_PFcm-R_AVI,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_PEF-L_p47r,Cingulo-Opercular,Frontoparietal,-0.0,0.01
R_SCEF-L_8C,Cingulo-Opercular,Frontoparietal,0.0,0.0
R_PEF-L_AVI,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_PFop-L_a47r,Cingulo-Opercular,Frontoparietal,-0.0,0.01
R_43-R_AVI,Cingulo-Opercular,Frontoparietal,0.0,0.0
L_a24pr-L_AVI,Cingulo-Opercular,Frontoparietal,0.0,0.0
R_MI-L_p47r,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_6r-L_AVI,Cingulo-Opercular,Frontoparietal,0.0,0.0
R_43-L_AVI,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_PFop-R_TE1m,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_6ma-R_p47r,Cingulo-Opercular,Frontoparietal,0.0,0.0
R_PFcm-L_AVI,Cingulo-Opercular,Frontoparietal,-0.0,0.0
L_PFcm-L_AVI,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_FOP3-L_p47r,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_PSL-R_p47r,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_6ma-R_a47r,Cingulo-Opercular,Frontoparietal,0.0,0.0
R_PSL-R_AVI,Cingulo-Opercular,Frontoparietal,0.0,0.0
R_6ma-L_POS2,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_FOP3-L_AVI,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_MI-L_AVI,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_PSL-R_44,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_PSL-R_a47r,Cingulo-Opercular,Frontoparietal,-0.0,0.0
R_IFSa-L_8C,Cingulo-Opercular,Frontoparietal,0.0,0.0
R_PFop-R_p47r,Cingulo-Opercular,Frontoparietal,0.0,0.0
R_6ma-L_7Pm,Cingulo-Opercular,Frontoparietal,0.0,0.0
L_FEF-L_POS2,Cingulo-Opercular,Frontoparietal,0.0,0.0
L_PoI1-L_TGv,Cingulo-Opercular,Language,-0.1,0.14
R_PEF-L_PSL,Cingulo-Opercular,Language,-0.08,0.08
R_PSL-R_A5,Cingulo-Opercular,Language,0.07,0.15
L_p32pr-L_45,Cingulo-Opercular,Language,0.07,0.09
R_p24pr-L_IFJa,Cingulo-Opercular,Language,-0.05,0.13
R_MI-R_STGa,Cingulo-Opercular,Language,0.05,0.08
L_a24pr-L_45,Cingulo-Opercular,Language,0.04,0.06
R_PFcm-R_A5,Cingulo-Opercular,Language,0.03,0.04
R_PSL-R_TPOJ1,Cingulo-Opercular,Language,0.02,0.04
R_p24pr-L_55b,Cingulo-Opercular,Language,-0.01,0.03
L_a24pr-L_STSda,Cingulo-Opercular,Language,0.01,0.02
L_a24pr-L_A5,Cingulo-Opercular,Language,0.01,0.01
L_p32pr-L_STSda,Cingulo-Opercular,Language,0.01,0.01
L_a24pr-L_TPOJ1,Cingulo-Opercular,Language,0.01,0.01
R_PSL-L_45,Cingulo-Opercular,Language,-0.0,0.01
R_PSL-R_TGv,Cingulo-Opercular,Language,0.0,0.02
R_MI-R_TGv,Cingulo-Opercular,Language,0.0,0.01
L_p24pr-L_TGv,Cingulo-Opercular,Language,0.0,0.01
R_PSL-R_STGa,Cingulo-Opercular,Language,0.0,0.0
L_MI-L_TPOJ1,Cingulo-Opercular,Language,-0.0,0.0
R_PFcm-L_45,Cingulo-Opercular,Language,-0.0,0.0
R_PEF-L_45,Cingulo-Opercular,Language,0.0,0.0
L_p24pr-L_TPOJ1,Cingulo-Opercular,Language,-0.0,0.0
R_p32pr-L_55b,Cingulo-Opercular,Language,-0.0,0.0
L_33pr-L_TPOJ1,Cingulo-Opercular,Language,-0.0,0.0
R_PFop-L_45,Cingulo-Opercular,Language,-0.0,0.0
R_FOP5-R_TGv,Cingulo-Opercular,Language,-0.0,0.0
R_a32pr-L_55b,Cingulo-Opercular,Language,-0.0,0.0
R_SCEF-L_55b,Cingulo-Opercular,Language,-0.0,0.0
R_MI-R_A5,Cingulo-Opercular,Language,0.0,0.0
R_FOP4-R_TGv,Cingulo-Opercular,Language,-0.0,0.0
R_PFop-L_TPOJ1,Cingulo-Opercular,Language,-0.0,0.0
R_43-L_45,Cingulo-Opercular,Language,-0.0,0.0
R_PSL-R_45,Cingulo-Opercular,Language,-0.0,0.0
R_FOP5-L_55b,Cingulo-Opercular,Language,0.0,0.0
L_p32pr-L_TPOJ1,Cingulo-Opercular,Language,0.0,0.0
R_MI-R_AAIC,Cingulo-Opercular,Orbito-Affective,0.04,0.08
L_46-L_pOFC,Cingulo-Opercular,Orbito-Affective,0.03,0.03
R_46-R_AAIC,Cingulo-Opercular,Orbito-Affective,-0.02,0.02
R_46-R_Pir,Cingulo-Opercular,Orbito-Affective,-0.02,0.02
L_46-L_AAIC,Cingulo-Opercular,Orbito-Affective,-0.01,0.01
R_PFop-L_Pir,Cingulo-Opercular,Orbito-Affective,-0.01,0.02
L_p24pr-L_AAIC,Cingulo-Opercular,Orbito-Affective,0.01,0.02
L_p24pr-L_Pir,Cingulo-Opercular,Orbito-Affective,0.01,0.02
R_PFop-R_pOFC,Cingulo-Opercular,Orbito-Affective,-0.01,0.01
L_PFop-L_pOFC,Cingulo-Opercular,Orbito-Affective,-0.0,0.01
L_PFcm-L_pOFC,Cingulo-Opercular,Orbito-Affective,-0.0,0.01
R_MI-R_Pir,Cingulo-Opercular,Orbito-Affective,0.0,0.01
L_p32pr-L_AAIC,Cingulo-Opercular,Orbito-Affective,0.0,0.01
R_PFop-L_AAIC,Cingulo-Opercular,Orbito-Affective,-0.0,0.01
R_PEF-L_AAIC,Cingulo-Opercular,Orbito-Affective,-0.0,0.01
L_43-L_Pir,Cingulo-Opercular,Orbito-Affective,0.0,0.01
R_PFcm-R_AAIC,Cingulo-Opercular,Orbito-Affective,-0.0,0.01
R_PSL-R_Pir,Cingulo-Opercular,Orbito-Affective,0.0,0.0
L_43-L_AAIC,Cingulo-Opercular,Orbito-Affective,0.0,0.0
R_PFop-L_pOFC,Cingulo-Opercular,Orbito-Affective,0.0,0.0
L_a24pr-L_AAIC,Cingulo-Opercular,Orbito-Affective,0.0,0.0
R_43-L_AAIC,Cingulo-Opercular,Orbito-Affective,0.0,0.01
L_PF-L_pOFC,Cingulo-Opercular,Orbito-Affective,-0.0,0.01
L_a24pr-L_Pir,Cingulo-Opercular,Orbito-Affective,0.0,0.0
R_PSL-L_AAIC,Cingulo-Opercular,Orbito-Affective,-0.0,0.0
R_PSL-L_Pir,Cingulo-Opercular,Orbito-Affective,-0.0,0.0
L_p32pr-L_Pir,Cingulo-Opercular,Orbito-Affective,0.0,0.0
R_FOP3-L_AAIC,Cingulo-Opercular,Orbito-Affective,0.0,0.0
R_PFcm-L_AAIC,Cingulo-Opercular,Orbito-Affective,0.0,0.0
R_43-R_Pir,Cingulo-Opercular,Orbito-Affective,0.0,0.0
R_PSL-R_AAIC,Cingulo-Opercular,Orbito-Affective,0.0,0.0
R_PFcm-L_Pir,Cingulo-Opercular,Orbito-Affective,0.0,0.0
R_MI-L_AAIC,Cingulo-Opercular,Orbito-Affective,0.0,0.0
L_PFcm-L_AAIC,Cingulo-Opercular,Orbito-Affective,0.0,0.0
L_PFcm-L_Pir,Cingulo-Opercular,Orbito-Affective,-0.0,0.0
R_PFcm-R_Pir,Cingulo-Opercular,Orbito-Affective,-0.0,0.0
L_a24pr-L_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,0.02,0.04
L_a24pr-L_TPOJ2,Cingulo-Opercular,Posterior_Multimodal,0.02,0.03
R_PSL-R_STV,Cingulo-Opercular,Posterior_Multimodal,0.01,0.01
L_SCEF-L_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,-0.01,0.02
L_p24pr-L_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,-0.01,0.02
R_FOP3-R_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,-0.01,0.02
L_33pr-L_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,-0.01,0.01
R_FOP4-R_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,-0.0,0.01
R_p24pr-L_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,-0.0,0.01
R_PFop-L_TPOJ2,Cingulo-Opercular,Posterior_Multimodal,-0.0,0.0
R_FOP1-R_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,-0.0,0.01
R_PoI2-R_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,0.0,0.0
L_p32pr-L_TPOJ2,Cingulo-Opercular,Posterior_Multimodal,0.0,0.0
L_p24pr-L_TPOJ2,Cingulo-Opercular,Posterior_Multimodal,0.0,0.0
L_33pr-L_TPOJ2,Cingulo-Opercular,Posterior_Multimodal,-0.0,0.0
L_p32pr-L_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,-0.0,0.0
R_6r-R_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,-0.0,0.0
R_MI-R_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,0.0,0.0
R_IFSa-R_TPOJ3,Cingulo-Opercular,Posterior_Multimodal,-0.0,0.0
R_23c-L_7AL,Cingulo-Opercular,Somatomotor,0.05,0.08
R_PFcm-L_Ig,Cingulo-Opercular,Somatomotor,0.05,0.05
R_FEF-R_Ig,Cingulo-Opercular,Somatomotor,-0.04,0.05
L_a24pr-L_OP1,Cingulo-Opercular,Somatomotor,0.01,0.03
R_23c-L_7PC,Cingulo-Opercular,Somatomotor,0.01,0.01
R_FOP4-L_24dv,Cingulo-Opercular,Somatomotor,0.01,0.02
L_33pr-L_OP1,Cingulo-Opercular,Somatomotor,0.01,0.01
R_FOP1-L_24dv,Cingulo-Opercular,Somatomotor,0.0,0.01
R_FOP5-L_4,Cingulo-Opercular,Somatomotor,-0.0,0.01
R_PEF-L_24dd,Cingulo-Opercular,Somatomotor,0.0,0.0
R_PFop-L_7AL,Cingulo-Opercular,Somatomotor,0.0,0.0
L_p32pr-L_OP4,Cingulo-Opercular,Somatomotor,0.0,0.0
L_a24pr-L_OP4,Cingulo-Opercular,Somatomotor,0.0,0.0
R_FOP3-L_24dv,Cingulo-Opercular,Somatomotor,0.0,0.01
R_FOP5-L_3a,Cingulo-Opercular,Somatomotor,-0.0,0.01
R_FOP5-L_6v,Cingulo-Opercular,Somatomotor,0.0,0.01
R_IFSa-L_6v,Cingulo-Opercular,Somatomotor,0.0,0.0
L_6ma-L_6v,Cingulo-Opercular,Somatomotor,-0.0,0.0
R_FEF-L_24dd,Cingulo-Opercular,Somatomotor,-0.0,0.0
R_p32pr-L_24dv,Cingulo-Opercular,Somatomotor,0.0,0.0
R_6ma-R_FOP2,Cingulo-Opercular,Somatomotor,0.0,0.0
R_FOP4-L_3a,Cingulo-Opercular,Somatomotor,-0.0,0.01
R_p32pr-L_6v,Cingulo-Opercular,Somatomotor,-0.0,0.0
R_IFSa-L_24dv,Cingulo-Opercular,Somatomotor,-0.0,0.0
R_FOP5-L_24dv,Cingulo-Opercular,Somatomotor,-0.0,0.0
R_PFop-L_24dv,Cingulo-Opercular,Somatomotor,-0.0,0.0
R_43-L_24dv,Cingulo-Opercular,Somatomotor,-0.0,0.01
L_33pr-L_OP4,Cingulo-Opercular,Somatomotor,0.0,0.0
R_FEF-L_24dv,Cingulo-Opercular,Somatomotor,0.0,0.0
R_PoI2-L_24dv,Cingulo-Opercular,Somatomotor,0.0,0.0
R_MI-L_24dv,Cingulo-Opercular,Somatomotor,0.0,0.0
R_6r-L_24dv,Cingulo-Opercular,Somatomotor,-0.0,0.0
R_PSL-R_FOP2,Cingulo-Opercular,Somatomotor,0.0,0.0
R_SCEF-L_24dv,Cingulo-Opercular,Somatomotor,-0.0,0.0
R_a32pr-L_6v,Cingulo-Opercular,Somatomotor,0.0,0.0
R_PEF-L_24dv,Cingulo-Opercular,Somatomotor,0.0,0.0
R_46-L_TF,Cingulo-Opercular,Ventral_Multimodal,0.02,0.03
R_MI-R_PeEc,Cingulo-Opercular,Ventral_Multimodal,0.01,0.02
R_43-L_PeEc,Cingulo-Opercular,Ventral_Multimodal,-0.0,0.01
R_43-R_PeEc,Cingulo-Opercular,Ventral_Multimodal,-0.0,0.01
R_PSL-L_PeEc,Cingulo-Opercular,Ventral_Multimodal,-0.0,0.01
L_PFcm-L_PeEc,Cingulo-Opercular,Ventral_Multimodal,0.0,0.01
R_PSL-R_TF,Cingulo-Opercular,Ventral_Multimodal,0.0,0.01
R_PF-L_PeEc,Cingulo-Opercular,Ventral_Multimodal,-0.0,0.0
R_PFop-L_PeEc,Cingulo-Opercular,Ventral_Multimodal,-0.0,0.0
L_p32pr-L_PeEc,Cingulo-Opercular,Ventral_Multimodal,0.0,0.0
R_PFcm-R_PeEc,Cingulo-Opercular,Ventral_Multimodal,-0.0,0.0
L_p32pr-L_TF,Cingulo-Opercular,Ventral_Multimodal,-0.0,0.0
R_PoI2-R_PeEc,Cingulo-Opercular,Ventral_Multimodal,0.0,0.0
R_PFcm-L_PeEc,Cingulo-Opercular,Ventral_Multimodal,-0.0,0.0
L_a24pr-L_PeEc,Cingulo-Opercular,Ventral_Multimodal,-0.0,0.0
R_PSL-R_PeEc,Cingulo-Opercular,Ventral_Multimodal,-0.0,0.0
R_PFcm-R_TF,Cingulo-Opercular,Ventral_Multimodal,0.0,0.0
R_PFop-L_TF,Cingulo-Opercular,Ventral_Multimodal,0.0,0.0
R_FOP3-R_DVT,Cingulo-Opercular,Visual1,0.0,0.01
L_a24pr-L_ProS,Cingulo-Opercular,Visual1,0.0,0.01
L_p32pr-L_ProS,Cingulo-Opercular,Visual1,0.0,0.01
R_FOP4-R_DVT,Cingulo-Opercular,Visual1,0.0,0.01
L_a24pr-L_DVT,Cingulo-Opercular,Visual1,0.0,0.0
L_p32pr-L_DVT,Cingulo-Opercular,Visual1,-0.0,0.0
R_p24pr-L_PH,Cingulo-Opercular,Visual2,0.02,0.04
R_PFop-R_VMV3,Cingulo-Opercular,Visual2,0.02,0.03
R_FOP3-L_V8,Cingulo-Opercular,Visual2,0.02,0.04
R_p24pr-R_LO3,Cingulo-Opercular,Visual2,0.02,0.04
L_33pr-L_V6A,Cingulo-Opercular,Visual2,0.01,0.03
L_a24pr-L_FST,Cingulo-Opercular,Visual2,0.01,0.04
R_23c-L_LIPv,Cingulo-Opercular,Visual2,0.01,0.02
R_FOP1-R_VMV3,Cingulo-Opercular,Visual2,0.01,0.02
L_p32pr-L_V6A,Cingulo-Opercular,Visual2,0.01,0.01
R_23c-L_VIP,Cingulo-Opercular,Visual2,0.01,0.01
L_a24pr-L_V3CD,Cingulo-Opercular,Visual2,0.01,0.01
L_p32pr-L_V3CD,Cingulo-Opercular,Visual2,0.0,0.01
L_a24pr-L_V6A,Cingulo-Opercular,Visual2,0.0,0.01
L_a24pr-L_V4t,Cingulo-Opercular,Visual2,0.0,0.01
R_PEF-R_VMV3,Cingulo-Opercular,Visual2,-0.0,0.01
L_33pr-L_V3CD,Cingulo-Opercular,Visual2,0.0,0.01
R_p24pr-L_FST,Cingulo-Opercular,Visual2,0.0,0.0
L_p32pr-L_V4t,Cingulo-Opercular,Visual2,0.0,0.0
L_p24pr-L_V6A,Cingulo-Opercular,Visual2,0.0,0.0
R_FOP3-L_FFC,Cingulo-Opercular,Visual2,0.0,0.0
R_PoI2-R_VMV3,Cingulo-Opercular,Visual2,0.0,0.0
L_p24pr-L_LO3,Cingulo-Opercular,Visual2,-0.0,0.01
L_p24pr-L_V3CD,Cingulo-Opercular,Visual2,0.0,0.0
R_6ma-L_IPS1,Cingulo-Opercular,Visual2,-0.0,0.0
L_a24pr-L_LO3,Cingulo-Opercular,Visual2,0.0,0.0
L_p32pr-L_VMV1,Cingulo-Opercular,Visual2,0.0,0.0
L_p32pr-L_FST,Cingulo-Opercular,Visual2,0.0,0.0
L_33pr-L_V4t,Cingulo-Opercular,Visual2,0.0,0.0
L_33pr-L_LO3,Cingulo-Opercular,Visual2,-0.0,0.0
L_p24pr-L_V4t,Cingulo-Opercular,Visual2,0.0,0.0
